,,Title,,Year,Rating,,,Available On,,
21,,The Hobbit: The Desolation of Smaug,,2013,13+,7.8/10,81/100,+ Rent or Buy,,Want To SeeSeen
22,,Leave No Trace,,2018,7+,7.2/10,74/100,+ Rent or Buy,,Want To SeeSeen
23,,Host,,2020,16+,6.5/10,71/100,+ Rent or Buy,,Want To SeeSeen
24,,Moonlight,,2016,18+,7.4/10,78/100,+ Rent or Buy,,Want To SeeSeen
25,,The Disaster Artist,,2017,18+,7.4/10,75/100,+ Rent or Buy,,Want To SeeSeen
26,,Land,,2021,13+,6.6/10,64/100,Rent or Buy,,Want To SeeSeen
27,,Antebellum,,2020,18+,5.7/10,65/100,+ Rent or Buy,,Want To SeeSeen
28,,Death of Me,,2020,18+,4.4/10,57/100,+ Rent or Buy,,Want To SeeSeen
29,,Lion,,2016,13+,8.0/10,80/100,+ Rent or Buy,,Want To SeeSeen
30,,The Hustle,,2019,13+,5.4/10,66/100,+ Rent or Buy,,Want To SeeSeen
31,,On Body and Soul,,2017,N/A,7.6/10,85/100,,,Want To SeeSeen
32,,Richard Jewell,,2019,18+,7.5/10,72/100,+ Rent or Buy,,Want To SeeSeen
33,,Tag,,2018,18+,6.5/10,72/100,+ Rent or Buy,,Want To SeeSeen
34,,Gully Boy,,2019,N/A,8.0/10,87/100,,,Want To SeeSeen
35,,Central Intelligence,,2016,13+,6.3/10,72/100,+ Rent or Buy,,Want To SeeSeen
36,,Honey Boy,,2019,18+,7.3/10,86/100,,,Want To SeeSeen
37,,On the Rocks,,2020,18+,6.5/10,77/100,,,Want To SeeSeen
38,,The Last: Naruto the Movie,,2014,13+,7.6/10,70/100,+ Rent or Buy,,Want To SeeSeen
39,,A Silent Voice: The Movie,,2016,13+,8.2/10,75/100,+ Rent or Buy,,Want To SeeSeen
40,,Nymphomaniac: Vol. II,,2013,18+,6.7/10,72/100,+ Rent or Buy,,Want To SeeSeen
41,,Ammonite,,2020,18+,6.5/10,66/100,+ Rent or Buy,,Want To SeeSeen
