Title,Year,Rating,IMDB Score,Reelgood Rating Score,Available On
Ghost Dog: The Way of the Samurai,1999,18+,7.5/10,82/100,Rent or Buy
Blade Runner,1982,18+,8.1/10,82/100,+ Rent or Buy
Picnic at Hanging Rock,1975,7+,7.5/10,82/100,+ Rent or Buy
Good Will Hunting,1997,18+,8.3/10,82/100,+ Rent or Buy
Star Wars: The Force Awakens,2015,13+,7.9/10,82/100,+ Rent or Buy
Captain America: Civil War,2016,13+,7.8/10,82/100,+ Rent or Buy
Zack Snyder's Justice League,2021,18+,8.2/10,82/100,
A Beautiful Mind,2001,13+,8.2/10,82/100,+ Rent or Buy
Tenet,2020,13+,7.4/10,82/100,+ Rent or Buy
A Clockwork Orange,1971,18+,8.3/10,82/100,+ Rent or Buy
Knife in the Water,1962,,7.5/10,82/100,+ Rent or Buy
Onibaba,1964,18+,8.0/10,82/100,
Thor: Ragnarok,2017,13+,7.9/10,82/100,+ Rent or Buy
Toy Story 3,2010,all,8.2/10,82/100,+ Rent or Buy
Day for Night,1973,7+,8.0/10,82/100,Rent or Buy
Raiders of the Lost Ark,1981,7+,8.4/10,82/100,+ Rent or Buy
Titanic,1997,13+,7.8/10,82/100,+ Rent or Buy
The Usual Suspects,1995,18+,8.5/10,82/100,Rent or Buy
Pan's Labyrinth,2006,18+,8.2/10,82/100,+ Rent or Buy
Housebound,2014,18+,6.8/10,82/100,+ Rent or Buy
Skyfall,2012,13+,7.7/10,82/100,+ Rent or Buy
Rush,2013,18+,8.1/10,82/100,+ Rent or Buy
Watership Down,1978,7+,7.6/10,82/100,+ Rent or Buy
Knives Out,2019,13+,7.9/10,82/100,+ Rent or Buy
Once Upon a Time in China,1991,18+,7.3/10,82/100,+ Rent or Buy
Harlan County U.S.A.,1977,7+,8.3/10,82/100,
The Incredibles,2004,7+,8.0/10,82/100,+ Rent or Buy
Fargo,1996,18+,8.1/10,82/100,+ Rent or Buy
Brittany Runs a Marathon,2019,18+,6.8/10,82/100,
Logan,2017,18+,8.1/10,82/100,Rent or Buy
Chasing Coral,2017,,8.1/10,82/100,
Rogue One: A Star Wars Story,2016,13+,7.8/10,82/100,+ Rent or Buy
Shrek,2001,7+,7.9/10,82/100,+ Rent or Buy
Waking Life,2001,18+,7.8/10,82/100,Rent or Buy
Private Life,2018,18+,7.2/10,82/100,
Braveheart,1995,18+,8.3/10,82/100,+ Rent or Buy
12 Years a Slave,2013,18+,8.1/10,82/100,+ Rent or Buy
Invader ZIM: Enter the Florpus,2019,7+,7.5/10,82/100,
Happy as Lazzaro,2018,13+,7.5/10,82/100,
Blade Runner 2049,2017,18+,8.0/10,82/100,+ Rent or Buy
The Hobbit: An Unexpected Journey,2012,13+,7.8/10,82/100,+ Rent or Buy
Deadpool 2,2018,18+,7.7/10,82/100,+ Rent or Buy
Mahanati,2018,7+,8.5/10,82/100,+ Rent or Buy
La Notte,1961,,8.1/10,82/100,+ Rent or Buy
Captain America: The Winter Soldier,2014,13+,7.7/10,82/100,+ Rent or Buy
Divorce Italian Style,1961,,8.0/10,82/100,
Dunkirk,2017,13+,7.8/10,82/100,+ Rent or Buy
Edge of Tomorrow,2014,13+,7.9/10,82/100,+ Rent or Buy
Woodstock,1970,18+,8.1/10,82/100,Rent or Buy
Cell 211,2009,,7.6/10,82/100,Rent or Buy
Harry Potter and the Deathly Hallows: Part 2,2011,13+,8.1/10,82/100,+ Rent or Buy
Heat,1995,18+,8.2/10,82/100,+ Rent or Buy
Zootopia,2016,7+,8.0/10,82/100,+ Rent or Buy
2001: A Space Odyssey,1968,all,8.3/10,82/100,+ Rent or Buy
Anthony Jeselnik: Thoughts and Prayers,2015,18+,7.8/10,82/100,
