,,Title,,Year,Rating,,,Available On,,
25,,Adventure Time,TV,2010,7+,8.6/10,87/100,+Rent or Buy,1Free Episodes,TrackHave You Seen?AllSomeNoneCancel
26,,Gangs of London,TV,2020,18+,8.1/10,82/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
27,,Euphoria,TV,2019,18+,8.4/10,81/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
28,,Loudermilk,TV,2017,18+,7.7/10,74/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
29,,Firefly,TV,2002,16+,9.0/10,90/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
30,,The Backyardigans,TV,2004,7+,6.9/10,60/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
31,,Endeavour,TV,2013,16+,8.6/10,80/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
32,,Home Improvement,TV,1991,7+,7.2/10,68/100,Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
33,,Bull,TV,2016,16+,7.0/10,69/100,+Rent or Buy,5Free Episodes,TrackHave You Seen?AllSomeNoneCancel
34,,Star Trek,TV,1966,7+,8.3/10,82/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
35,,Why Women Kill,TV,2019,18+,8.4/10,77/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
36,,Shrill,TV,2019,18+,7.4/10,75/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
37,,The Wire,TV,2002,18+,9.3/10,94/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
38,,SEAL Team,TV,2017,16+,7.6/10,73/100,+Rent or Buy,5Free Episodes,TrackHave You Seen?AllSomeNoneCancel
39,,Mr. Robot,TV,2015,18+,8.5/10,91/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
40,,A&E Biography: WWE Legends,TV,2021,N/A,8.8/10,62/100,,8Free Episodes,TrackHave You Seen?AllSomeNoneCancel
41,,PAW Patrol,TV,2013,all,6.2/10,61/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
42,,Snowfall,TV,2017,18+,8.2/10,83/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
43,,Titans,TV,2018,18+,7.7/10,80/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
44,,The Kominsky Method,TV,2018,18+,8.2/10,79/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
45,,Creepshow,TV,2019,18+,7.1/10,67/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
46,,Chernobyl,TV,2019,18+,9.4/10,95/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
47,,Heartland,TV,2007,7+,8.4/10,76/100,doveupfa+Rent or Buy,204Free Episodes,TrackHave You Seen?AllSomeNoneCancel
48,,Letterkenny,TV,2016,18+,8.6/10,74/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
49,,9-1-1,TV,2018,16+,7.7/10,81/100,+Rent or Buy,4Free Episodes,TrackHave You Seen?AllSomeNoneCancel
0,,Top Chef,TV,2006,16+,7.6/10,69/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
1,,12 Monkeys,TV,2015,16+,7.7/10,81/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
2,,My Hero Academia,TV,2016,16+,8.5/10,90/100,+Rent or Buy,84Free Episodes,TrackHave You Seen?AllSomeNoneCancel
3,,Charmed,TV,1998,16+,7.1/10,75/100,+Rent or Buy,170Free Episodes,TrackHave You Seen?AllSomeNoneCancel
4,,DAVE,TV,2020,18+,8.4/10,76/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
